video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=H_3ENKlo6oo&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@kennakwok.,Kenna Kwok,DORM TOUR 2021 - UNIVERSITY OF WASHINGTON (Lander Hall),45K weergaven,2 jaar geleden,MY OFFICIAL DORM ROOM TOUR! I hope you guys enjoy it and maybe get some inspiration! Shoutout to Clarice for filming too!,2024-01-28 08:47:04.618828
/watch?v=jAaqNUzUVyQ&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@WheelsYT,Wheels,#25 Washington vs #6 Oregon Highlights | College Football Week 11 | 2022 College Football Highlights,266K weergaven,1 jaar geleden,Oregon vs Washington Highlights (Washington vs Oregon) | 2022 College Football Highlights. Oregon Football hosted ...,2024-01-28 08:47:04.621315
/watch?v=s1KLYMQitcQ&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@WWUVikingsAthletics,WWUVikingsAthletics,Western Washington University - Campus Tour,17K weergaven,3 jaar geleden,"Take a tour of the Western Washington University campus in Bellingham, Washington, through the eyes of the Department of ...",2024-01-28 08:47:04.622647
/watch?v=IlYJcGPEVW4&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@pac12,Pac-12 Networks,Washington vs. California Men's Basketball Highlights | 2023-24 Season,"2,7K weergaven",9 dagen geleden,Moses Wood made a three-pointer at the end of regulation to help Washington men's basketball defeat California by a final score ...,2024-01-28 08:47:04.624057
/watch?v=dCGh9XhNxMI&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@R247Success,R247 Success,The University of Washington System | All 3 Campuses,513 weergaven,5 maanden geleden,The University of Washington System. University of Washington Campus Tour. University of Washington Seattle. University of ...,2024-01-28 08:47:04.626074
/watch?v=wL590rVlTdA&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@Music213,Music213,University of Washington Husky Marching Band - 2019 Pasadena Rose Parade,16K weergaven,5 jaar geleden,"From Seattle, Washington The University of Washington Husky Marching Band performing at the 130th Annual Pasadena ...",2024-01-28 08:47:04.627594
/watch?v=IzWYzY2vwys&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@UWHuskyMarchingBand,University of Washington Husky Marching Band,Husky Marching Band | Washington vs. WSU | Halftime - Music of Marvel (11.29.19),10K weergaven,4 jaar geleden,"The Husky Marching Band presents the ""Music of Marvel"" with songs from the Marvel Universe and The Avengers! Led onto the ...",2024-01-28 08:47:04.628887
/watch?v=NS1pBvHz6As&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@espncfb,ESPN College Football,Washington Huskies vs. Oregon State Beavers | Full Game Highlights,392K weergaven,2 maanden geleden,"Watch full game highlights as the No. 5 Washington Huskies held on to defeat the No. 10 Oregon State Beavers, 22-20, in a rainy ...",2024-01-28 08:47:04.630635
/watch?v=HjdhOegDa9A&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@CentralWashU,Central Washington University,CWU Campus,14K weergaven,4 jaar geleden,"Aerial views of the Central Washington University campus in Ellensburg, WA.",2024-01-28 08:47:04.631980
/watch?v=yxbMp8b0fOs&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@kennakwok.,Kenna Kwok,COLLEGE MOVE IN DAY - UNIVERSITY OF WASHINGTON,50K weergaven,3 jaar geleden,My official dorm move in day at the University of Washington! I moved in to Lander Hall on West Campus - comment below any ...,2024-01-28 08:47:04.633254
/watch?v=guIgwzT6QPA&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@UDubAdmissions,UW Admissions,Where We Study: University of Washington,38K weergaven,11 jaar geleden,"We asked, students answered. ""What is your favorite place to study on campus?"" ""On a sunny spring weekend day, I love ...",2024-01-28 08:47:04.634480
/watch?v=TpjyA858ErE&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@HarshithaNadamala,Harshitha Nadamala,University of Washington Seattle tour | Prettiest campus in USA | Telugu | Harshi Vlogs,4K weergaven,7 maanden geleden,The University of Washington has been named one of the most beautiful colleges in America. So in today's video I wanted to show ...,2024-01-28 08:47:04.635774
/watch?v=zGauqOEDdK0&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@Soundwayz,Sound Wayz,"[4K] Seattle's University District, and the University of WA Campus Walk Through","3,9K weergaven",10 maanden geleden,"Seattle's University District and the University of Washington, Walking Tour in Seattle WA - USA. 2023 The University of ...",2024-01-28 08:47:04.637050
/watch?v=FNsjgQul208&pp=ygUSdW5pdiBvZiB3YXNoaW5ndG9u,/@uwrecreation2837,UW Recreation,About University of Washington Recreation,6K weergaven,1 jaar geleden,Learn more about what UW Recreation has to offer the Husky community! You'll discover how to get active and participate in our ...,2024-01-28 08:47:04.638282
